variable,group,scrubber,n,min,max,sd,mean,se,Q25,Q50,Q75
sfc,Ocean 2019,No,20,0.00182252426158746,9.82240813774646,2.5496959516392645,3.613437206049773,0.5701293469821411,2.18536729955716,3.17708463841175,4.3930070673704975
sfc,Ocean 2019,Yes,5,0.00182252426158746,3.29540723562768,1.447449224592807,0.7146153922772008,0.6473189720337753,0.00182252426158746,0.00182252426158746,0.272202152973562
sfc,Ocean 2021-2022,No,49,0.00182252426158746,1.78236392645242,0.34972855865198094,0.3449917612240209,0.049961222664568705,0.0105274252985865,0.27930359745938,0.545360077150662
sfc,Ocean 2021-2022,Yes,23,0.00182252426158746,1.52179454351863,0.35215154611376165,0.20089044727046632,0.07342867329720396,0.00182252426158746,0.0684188961492387,0.23901235051423353
sfc,SECA 2021-2023,No,23,0.00182252426158746,0.474519541600006,0.11015313679724095,0.056875276630523844,0.0229685167758255,0.00182252426158746,0.00182252426158746,0.07222790600969889
sfc,SECA 2021-2023,Yes,10,0.00182252426158746,0.0458206295709811,0.014066646262815733,0.007803929074479185,0.004448264123039321,0.00182252426158746,0.00182252426158746,0.0030787228378415703
