year,location_type,variable,n,min,max,sd,mean,se,Q25,Q50,Q75
2019,Open Ocean,nox_co2,16,0.0086,0.0412,0.008421761422136636,0.020784479166666668,0.002105440355534159,0.014925,0.0205175,0.024575000000000003
2019,SECA,nox_co2,1,0.0227,0.0227,NA,0.0227,NA,0.0227,0.0227,0.0227
2022,Port of Valencia,nox_co2,35,0.00546,0.01864,0.0031473764451356878,0.011405428571428572,5.32003718767748e-4,0.009295000000000001,0.0107,0.013489999999999999
2023,Port of Tyne,nox_co2,17,2e-4,0.0213,0.005906419239716575,0.008995882352941176,0.001432517082031282,0.0052,0.00873,0.0115
2019,Open Ocean,sfc,25,0.00182252426158746,9.82240813774646,2.6260803184389623,3.0336728432952587,0.5252160636877925,0.652407867031535,2.84161567406537,4.1360399191546096
2019,SECA,sfc,1,0.0548887941387537,0.0548887941387537,NA,0.0548887941387537,NA,0.0548887941387537,0.0548887941387537,0.0548887941387537
2021,Open Ocean,sfc,57,0.00182252426158746,1.78236392645242,0.3697837192665838,0.3109584747807292,0.048979050128444675,0.00182252426158746,0.244739390173195,0.469453191739918
2021,SECA,sfc,32,0.00182252426158746,0.474519541600006,0.09593922277114715,0.041602558097127706,0.016959818750811245,0.00182252426158746,0.00182252426158746,0.0318789092313259
2022,Open Ocean,sfc,15,0.0105274252985865,0.761963789311139,0.2960838868323012,0.25336290164641256,0.07644853085212426,0.0105274252985865,0.0685785563496888,0.5435613296981265
2022,Port of Valencia,sfc,35,0.01,0.369,0.10277277089275538,0.10298571428571428,0.01737176891805025,0.023,0.068,0.147
2023,Port of Tyne,sfc,17,0.001,0.2339,0.057786726079865534,0.041418823529411765,0.014015339728583551,0.0102,0.0266,0.0357
