"plume_idx","so2_max","stat","no","so2_from_no","perc_int"
1,6.94562721252441,"max",66.2831056640625,0.457124866648707,6.58147713174723
1,6.94562721252441,"q99",60.1525593339844,0.414845236786099,5.9727541385758
1,6.94562721252441,"q95",29.1963158473467,0.201353902395495,2.89900244044788
2,5.36749649047852,"max",22.2384162109375,0.153368387661638,2.85735422340192
2,5.36749649047852,"q99",20.9647443466797,0.144584443770205,2.69370355484508
2,5.36749649047852,"q95",16.9644780419922,0.116996400289601,2.17972010782202
3,10.387547492981,"max",50.572776953125,0.348777772090517,3.35765273108202
3,10.387547492981,"q99",46.883556484375,0.323334872306034,3.11271618757476
3,10.387547492981,"q95",39.6542490234375,0.273477579471983,2.63274444383312
4,5.56125164031982,"max",42.6290572265625,0.293993498114224,5.28646278083753
4,5.56125164031982,"q99",36.1019402890625,0.248978898545259,4.47702989629399
4,5.56125164031982,"q95",16.3644181481933,0.112858056194437,2.02936431389295
5,6.15837621688843,"max",81.0159109375,0.558730420258621,9.07269060188927
5,6.15837621688843,"q99",75.1780826953125,0.518469535829741,8.41893248431162
5,6.15837621688843,"q95",56.34712015625,0.388600828663793,6.31011836526182
6,4.88126039505005,"max",30.0716921875,0.207390980603448,4.24871782734143
6,4.88126039505005,"q99",29.2401569921875,0.201656255118534,4.13123330447662
6,4.88126039505005,"q95",26.2781194140625,0.181228409752155,3.71273800381422
7,12.8764982223511,"max",54.10246015625,0.37312041487069,2.89768544543443
7,12.8764982223511,"q99",47.77997053125,0.329517038146552,2.55905784675662
7,12.8764982223511,"q95",28.3037852734375,0.195198519127155,1.51592859919267
8,29.0186443328857,"max",312.485444726562,2.15507203259698,7.4265083091932
8,29.0186443328857,"q99",261.616481720703,1.80425159807381,6.21755991553721
8,29.0186443328857,"q95",31.9863890057369,0.220595786246461,0.76018639504971
9,91.4438552856445,"max",718.94113125,4.95821469827586,5.42214092219517
9,91.4438552856445,"q99",494.903006381835,3.41312418194369,3.73248062571516
9,91.4438552856445,"q95",4.39825796484649,0.0303328135506655,0.0331709697233504
10,15.2329483032227,"max",76.77648125,0.529492974137931,3.475971713407
10,15.2329483032227,"q99",67.1192686035156,0.462891507610452,3.03875191063652
10,15.2329483032227,"q95",36.1911237304687,0.249593956761853,1.63851377811772
20,23.4480152130127,"max",72.9145375,0.502858879310345,2.14456905943697
20,23.4480152130127,"q99",65.34821796875,0.450677365301724,1.92202777594419
20,23.4480152130127,"q95",32.09221484375,0.221325619612069,0.943899164178477
21,37.1577301025391,"max",38.7170625976563,0.267014224811422,0.718596706727187
21,37.1577301025391,"q99",30.0963877880859,0.207561295090248,0.55859519544781
21,37.1577301025391,"q95",4.85362169677734,0.0334732530812231,0.0900842247060074
23,77.6583557128906,"max",513.577053125,3.5419107112069,4.56088810881038
23,77.6583557128906,"q99",439.305545484375,3.02969341713362,3.90131028312606
23,77.6583557128906,"q95",313.472269375,2.16187771982758,2.78383143704488
24,51.0800971984863,"max",114.565928125,0.790109849137931,1.54680568846166
24,51.0800971984863,"q99",101.370184148437,0.699104718265085,1.36864406414207
24,51.0800971984863,"q95",70.5943463472175,0.486857561015293,0.953125752919907
26,60.5278282165527,"max",477.47168984375,3.29290820581897,5.44032109336189
26,60.5278282165527,"q99",302.801999134545,2.08828964920376,3.45013146966451
26,60.5278282165527,"q95",15.2513494979763,0.105181720675699,0.173774152773805
27,70.1058959960938,"max",377.65080625,2.60448831896552,3.71507742959399
27,70.1058959960938,"q99",320.638988078125,2.21130336605603,3.15423308501648
27,70.1058959960938,"q95",218.709500440674,1.50834138234947,2.15151858615931
